date,time,member,message,message_type,message_length,reaction_count,word_count,mentions,emojis
2022-01-10,01:02 PM,raqib,How far g!,text,10,0,3,,[]
2022-01-10,01:02 PM,raqib,"This is Raqib, from CPE.",text,24,0,5,,[]
2022-01-10,01:02 PM,Abdulmuiz,I dey chairman,text,14,0,3,,[]
2022-01-10,01:02 PM,Abdulmuiz,Wetin xup,text,9,0,2,,[]
2022-01-10,01:02 PM,raqib,I just learnt am in ur group and I guess u are the leader there.,text,64,0,15,,[]
2022-01-10,01:03 PM,Abdulmuiz,For where again 😒,text,17,0,3,,['😒']
2022-01-10,01:03 PM,raqib,They said the first name on the list is the group leader😂,text,57,1,12,,['😂']
2022-01-10,01:04 PM,raqib,<Media omitted>,text,15,0,2,,[]
2022-01-10,01:04 PM,Abdulmuiz,Today's own😒? Or waht,text,21,0,5,,['😒']
2022-01-10,01:04 PM,Abdulmuiz,Ohhhh I know about this one jhare,text,33,0,7,,[]
2022-01-10,01:04 PM,Abdulmuiz,You dey here ni?,text,16,0,4,,[]
2022-01-10,01:05 PM,raqib,Yes the last name sir,text,21,0,5,,[]
2022-01-10,01:05 PM,Abdulmuiz,😒ok,text,3,0,1,,['😒']
2022-01-10,01:06 PM,raqib,Shey u went last week?,text,22,0,5,,[]
2022-01-10,01:06 PM,Abdulmuiz,Yh,text,2,0,1,,[]
2022-01-10,01:06 PM,raqib,We dey meet today again?,text,24,0,5,,[]
2022-01-10,01:07 PM,Abdulmuiz,No tomorrow,text,11,0,2,,[]
2022-01-10,01:07 PM,raqib,Ok boss,text,7,0,2,,[]
2022-01-10,01:07 PM,raqib,,text,0,0,0,,[]
2022-01-10,01:07 PM,raqib,Thanks!,text,7,0,1,,[]
2022-01-10,01:07 PM,Abdulmuiz,✌🏽,text,2,0,0,,"['✌', '🏽']"
2022-01-10,01:10 PM,raqib,Save up sha,text,11,0,3,,[]
2022-01-10,01:10 PM,Abdulmuiz,?,text,1,0,0,,[]
2022-01-10,01:11 PM,raqib,My contact,text,10,0,2,,[]
2022-01-10,01:11 PM,raqib,<Media omitted>,text,15,0,2,,[]
2022-01-10,01:16 PM,Abdulmuiz,Done,text,4,0,1,,[]
2022-01-15,07:35 PM,raqib,<Media omitted>,text,15,0,2,,[]
2022-01-15,07:43 PM,Abdulmuiz,See this guy,text,12,0,3,,[]
2022-01-15,07:44 PM,Abdulmuiz,How far? Shey you go run the graph for us...ask vine if he don do his own,text,73,0,18,,[]
2022-01-15,07:46 PM,raqib,I fit.,text,6,0,2,,[]
2022-01-15,07:46 PM,raqib,Ok.,text,3,0,1,,[]
2022-01-15,07:46 PM,raqib,But i no get graph o,text,20,0,6,,[]
2022-01-15,07:47 PM,Abdulmuiz,Ehn you fit buy am from kiosk 10,text,32,0,8,,[]
2022-01-15,07:47 PM,Abdulmuiz,I go give you money,text,19,0,5,,[]
2022-01-15,07:48 PM,raqib,Sighs... On monday sha i go see,text,31,0,7,,[]
2022-01-15,07:48 PM,Abdulmuiz,Ok na,text,5,0,2,,[]
2022-01-17,04:52 PM,Abdulmuiz,How far the graph?,text,18,0,4,,[]
2022-01-17,04:52 PM,Abdulmuiz,Na tomorrow we dey submit am ohhh boss,text,38,0,8,,[]
2022-01-17,04:53 PM,raqib,Eeii😖,text,5,0,1,,['😖']
2022-01-17,04:53 PM,raqib,U still dey school?,text,19,0,4,,[]
2022-01-17,04:53 PM,Abdulmuiz,No ohhh,text,7,0,2,,[]
2022-01-17,04:54 PM,Abdulmuiz,I don dey hostel,text,16,0,4,,[]
2022-01-17,04:54 PM,raqib,"Cos now, i never see anybody wey dun run am..",text,45,0,10,,[]
2022-01-17,04:54 PM,raqib,"Btw, i no still get table of values.",text,36,0,8,,[]
2022-01-17,04:54 PM,Abdulmuiz,Run am na,text,9,0,3,,[]
2022-01-17,04:54 PM,Abdulmuiz,Check group na,text,14,0,3,,[]
2022-01-17,04:54 PM,Abdulmuiz,They don send am,text,16,0,4,,[]
2022-01-17,04:54 PM,Abdulmuiz,Boss run am ohhh,text,16,0,4,,[]
2022-01-17,04:54 PM,Abdulmuiz,😪,text,1,0,0,,['😪']
2022-01-17,04:55 PM,raqib,Ohh i just checked.,text,19,0,4,,[]
2022-01-17,04:55 PM,raqib,No be 2 we dey submit abi?,text,26,0,7,,[]
2022-01-17,04:55 PM,Abdulmuiz,Yh,text,2,0,1,,[]
2022-01-17,04:55 PM,Abdulmuiz,check the manual solo sent to the group,text,39,0,8,,[]
2022-01-17,04:58 PM,raqib,I don even forget to buy graph sef.,text,35,0,8,,[]
2022-01-17,04:58 PM,raqib,I go shaparly run am after dat 218 boss.,text,40,0,9,,[]
2022-01-17,05:11 PM,Abdulmuiz,Oya na,text,6,0,2,,[]
2022-01-21,11:01 AM,Abdulmuiz,Boss how fR? You fit help me collect my receipt for yesterday practical from Edward?,text,84,0,15,,[]
2022-01-21,11:01 AM,Abdulmuiz,"If you dey come hostel,tell me...make I come collect am",text,55,0,12,,[]
2022-01-21,12:03 PM,raqib,Omo i just dey see ur msg,text,25,0,7,,[]
2022-01-21,12:04 PM,raqib,Ok if i see am,text,14,0,5,,[]
2022-01-21,03:02 PM,raqib,Boss i no see Edward o..,text,24,0,6,,[]
2022-01-21,03:02 PM,raqib,Na from bank i go collect my own sef,text,36,0,9,,[]
2022-01-21,03:43 PM,Abdulmuiz,Bank ke you never pay ni,text,24,0,6,,[]
2022-01-21,03:44 PM,raqib,"Yh btw, if u lost ur receipt, u can still go to bank",text,52,0,13,,[]
2022-01-21,03:45 PM,Abdulmuiz,With wat evidence?,text,18,0,3,,[]
2022-01-21,04:23 PM,raqib,I dunno but i heard some ppl dat have paid saying so,text,52,0,12,,[]
2022-01-21,04:24 PM,Abdulmuiz,Ohk na,text,6,0,2,,[]
2022-01-24,06:07 PM,raqib,🙇‍♂️🙏,text,5,0,0,,"['🙇', '♂', '🙏']"
2022-01-24,06:08 PM,Abdulmuiz,🤞🏼,text,2,0,0,,"['🤞', '🏼']"
2022-01-27,07:29 PM,raqib,U be Chelsea fan?,text,17,0,4,,[]
2022-01-27,07:54 PM,Abdulmuiz,Yes na,text,6,0,2,,[]
2022-01-27,08:14 PM,raqib,Mtcheww dat small team,text,22,0,4,,[]
2022-01-27,08:14 PM,Abdulmuiz,Make I catch you😂,text,17,1,4,,['😂']
2022-01-27,08:15 PM,raqib,How far help me check my this pic how u see am,text,46,0,12,,[]
2022-01-27,08:16 PM,raqib,<Media omitted>,text,15,0,2,,[]
2022-01-27,08:16 PM,Abdulmuiz,Which one,text,9,0,2,,[]
2022-01-27,08:16 PM,raqib,<Media omitted>,text,15,0,2,,[]
2022-01-27,08:17 PM,Abdulmuiz,You tried,text,9,0,2,,[]
2022-01-27,08:17 PM,Abdulmuiz,E make,text,6,0,2,,[]
2022-01-27,08:33 PM,raqib,picture wey i take today fuu,text,28,0,6,,[]
2022-01-27,08:34 PM,raqib,Help repost sha,text,15,0,3,,[]
2022-01-27,09:10 PM,Abdulmuiz,Lol ok,text,6,0,2,,[]
2022-01-27,09:21 PM,raqib,You deleted this message,text,24,0,4,,[]
2022-01-27,09:21 PM,raqib,<Media omitted>,text,15,0,2,,[]
2022-01-27,09:36 PM,Abdulmuiz,Pele,text,4,0,1,,[]
2022-02-02,03:56 PM,Abdulmuiz,Wetin happen,text,12,0,2,,[]
2022-02-02,04:03 PM,raqib,Dey installed wifi for us,text,25,0,5,,[]
2022-02-02,04:03 PM,raqib,But e no mean sey i no go commot sha😂,text,37,1,10,,['😂']
2022-02-02,04:14 PM,Abdulmuiz,Toor,text,4,0,1,,[]
2022-02-02,04:31 PM,raqib,<Media omitted>,text,15,0,2,,[]
2022-02-02,04:31 PM,raqib,You deleted this message,text,24,0,4,,[]
